species,country_of_origin,number_of_bags,bag_weight,total_weight,processing,aroma,flavor,body,uniformity,cupper_points,yum_score
Arabica,"Tanzania, United Republic Of",100,60.0,6000.0,Natural,8.42,8.17,7.58,10.0,8.54,0.81
Arabica,Brazil,29,60.0,1740.0,Natural,8.5,8.17,8.0,10.0,8.67,0.87
Arabica,Costa Rica,250,0.907184,226.796,Washed,8.17,7.83,7.83,10.0,8.46,0.79
Arabica,Ethiopia,320,60.0,19200.0,Natural,8.0,8.08,8.08,10.0,8.54,0.83
Arabica,Kenya,320,1.0,320.0,Washed,8.08,8.0,7.92,10.0,8.5,0.81
Arabica,United States (Hawaii),10,45.3592,453.592,Natural,8.08,8.17,7.92,10.0,8.54,0.83
Arabica,United States,10,1.0,10.0,Washed,7.67,8.17,8.17,10.0,8.5,0.83
Arabica,Thailand,53,1.0,53.0,Washed,7.83,8.33,7.58,10.0,8.44,0.79
Arabica,Taiwan,10,15.0,150.0,Semi-Washed,8.08,8.17,7.75,10.0,8.5,0.81
Arabica,Kenya,12,60.0,720.0,Natural,8.08,8.08,7.83,10.0,8.5,0.81
Arabica,Brazil,7,60.0,420.0,Semi-Washed,8.33,8.0,7.75,10.0,8.52,0.81
Arabica,Uganda,1,60.0,60.0,Semi-Washed,8.08,8.08,8.08,10.0,8.56,0.84
Arabica,Colombia,1,2.0,2.0,Washed,7.75,7.92,8.08,10.0,8.44,0.8
Arabica,Kenya,1,1.0,1.0,Washed,7.92,8.17,7.5,10.0,8.4,0.77
Arabica,Uganda,1,60.0,60.0,Washed,8.25,8.0,8.0,10.0,8.56,0.83
Arabica,Guatemala,80,69.0,5520.0,Washed,7.92,8.08,8.08,10.0,8.52,0.83
Arabica,Uganda,1,60.0,60.0,Natural,8.17,8.17,7.83,10.0,8.54,0.82
Arabica,Colombia,275,70.0,19250.0,Washed,8.0,8.0,7.83,10.0,8.46,0.8
Arabica,Panama,37,60.0,2220.0,Washed,8.0,8.0,7.83,10.0,8.46,0.8
Arabica,Ethiopia,320,60.0,19200.0,Washed,7.83,8.08,8.0,10.0,8.48,0.81
Arabica,Guatemala,150,1.0,150.0,Washed,7.83,8.0,7.83,10.0,8.41,0.78
Arabica,Guatemala,275,1.0,275.0,Washed,8.0,8.0,7.83,10.0,8.46,0.8
Arabica,Peru,280,2.26796,635.0288,Washed,8.0,8.0,7.92,10.0,8.48,0.81
Arabica,Papua New Guinea,7,60.0,420.0,Washed,8.33,8.42,8.0,9.33,8.52,0.83
Arabica,El Salvador,275,2.0,550.0,Washed,7.92,8.17,7.75,10.0,8.46,0.8
Arabica,El Salvador,19,1.0,19.0,Semi-Washed,7.83,8.0,7.92,10.0,8.44,0.8
Arabica,United States (Hawaii),8,45.3592,362.8736,Natural,7.83,8.0,8.08,10.0,8.48,0.81
Arabica,Panama,100,60.0,6000.0,Natural,8.0,7.75,7.67,10.0,8.36,0.76
Arabica,Kenya,16,60.0,960.0,Natural,7.92,7.92,7.83,10.0,8.42,0.78
Arabica,Ethiopia,320,60.0,19200.0,Natural,7.83,8.0,7.83,10.0,8.41,0.78
Arabica,Uganda,320,60.0,19200.0,Washed,8.33,7.92,7.67,10.0,8.48,0.79
Arabica,Guatemala,250,69.0,17250.0,Washed,8.0,7.83,7.83,10.0,8.41,0.78
Arabica,Ethiopia,320,60.0,19200.0,Washed,7.75,7.83,7.92,10.0,8.38,0.77
Arabica,Uganda,150,60.0,9000.0,Washed,8.08,8.0,8.0,10.0,8.52,0.82
Arabica,United States (Hawaii),8,45.3592,362.8736,Natural,7.92,7.92,7.75,10.0,8.4,0.77
Arabica,Brazil,5,60.0,300.0,Semi-Washed,8.0,8.0,7.75,10.0,8.44,0.79
Arabica,China,3,60.0,180.0,Natural,8.0,8.0,7.83,10.0,8.46,0.8
Arabica,Guatemala,36,30.0,1080.0,Natural,7.83,7.75,7.83,10.0,8.35,0.76
Arabica,Costa Rica,250,1.360776,340.194,Washed,7.92,8.08,8.0,10.0,8.5,0.82
Arabica,Costa Rica,250,1.360776,340.194,Washed,8.0,7.58,8.08,10.0,8.41,0.79
Arabica,Kenya,20,60.0,1200.0,Washed,7.83,8.08,7.92,10.0,8.46,0.8
Arabica,Kenya,300,60.0,18000.0,Washed,8.0,7.92,7.83,10.0,8.44,0.79
Arabica,Colombia,275,70.0,19250.0,Washed,8.17,7.92,7.58,10.0,8.42,0.77
Arabica,Colombia,250,70.0,17500.0,Natural,7.58,8.08,8.0,10.0,8.41,0.79
Arabica,Indonesia,54,60.0,3240.0,Semi-Washed,7.75,7.83,8.08,10.0,8.41,0.79
Arabica,Guatemala,250,1.0,250.0,Washed,8.25,8.0,7.75,10.0,8.5,0.8
Arabica,Colombia,250,70.0,17500.0,Natural,8.17,7.83,8.0,10.0,8.5,0.81
Arabica,Ethiopia,100,60.0,6000.0,Natural,8.42,8.0,7.92,9.33,8.42,0.79
Arabica,United States (Hawaii),12,45.3592,544.3104000000001,Natural,7.58,7.83,7.83,10.0,8.31,0.75
Arabica,Colombia,250,70.0,17500.0,Natural,7.83,8.0,7.83,10.0,8.41,0.78
Arabica,Uganda,200,60.0,12000.0,Washed,8.17,7.92,7.67,10.0,8.44,0.78
Arabica,Colombia,135,70.0,9450.0,Washed,8.0,7.92,7.75,10.0,8.42,0.78
Arabica,Costa Rica,36,46.0,1656.0,Washed,7.83,8.0,7.92,10.0,8.44,0.8
Arabica,Mexico,1,30.0,30.0,Washed,7.83,8.0,7.67,10.0,8.38,0.77
Arabica,Kenya,170,60.0,10200.0,Washed,8.17,7.83,7.67,10.0,8.42,0.77
Arabica,Kenya,38,60.0,2280.0,Washed,7.75,7.83,8.0,10.0,8.39,0.78
Arabica,Brazil,31,60.0,1860.0,Natural,8.0,8.0,7.67,10.0,8.42,0.78
Arabica,Colombia,243,70.0,17010.0,Washed,7.92,7.92,7.92,10.0,8.44,0.79
Arabica,Colombia,252,70.0,17640.0,Washed,7.92,7.83,7.75,10.0,8.38,0.77
Arabica,Taiwan,20,40.0,800.0,Semi-Washed,7.67,7.83,8.0,10.0,8.38,0.78
Arabica,"Tanzania, United Republic Of",134,60.0,8040.0,Washed,8.0,7.83,7.75,10.0,8.39,0.77
Arabica,Colombia,50,70.0,3500.0,Washed,7.75,7.92,7.75,10.0,8.36,0.76
Arabica,Mexico,25,1.0,25.0,Semi-Washed,7.75,8.0,7.5,10.0,8.31,0.74
Arabica,Brazil,4,60.0,240.0,Natural,8.0,7.92,8.0,10.0,8.48,0.81
Arabica,Brazil,10,60.0,600.0,Natural,8.0,8.0,7.5,10.0,8.38,0.76
Arabica,Taiwan,10,20.0,200.0,Natural,7.92,7.58,7.83,10.0,8.33,0.75
Arabica,Uganda,1,60.0,60.0,Natural,7.75,7.92,8.25,10.0,8.48,0.82
Arabica,United States (Hawaii),14,45.3592,635.0288,Natural,7.67,7.75,7.83,10.0,8.31,0.75
Arabica,Thailand,50,50.0,2500.0,Pulped-Natural,7.75,7.75,8.0,10.0,8.38,0.78
Arabica,Kenya,150,60.0,9000.0,Washed,7.92,7.83,7.75,10.0,8.38,0.77
Arabica,Honduras,275,1.0,275.0,Washed,7.83,7.75,7.67,10.0,8.31,0.74
Arabica,El Salvador,150,69.0,10350.0,Washed,7.83,7.83,7.83,10.0,8.37,0.77
Arabica,Indonesia,2,1.0,2.0,Washed,7.92,7.83,7.75,10.0,8.38,0.77
Arabica,Japan,20,1.0,20.0,Pulped-Natural,7.75,7.75,8.08,10.0,8.39,0.79
Arabica,Costa Rica,15,69.0,1035.0,Washed,8.08,7.75,7.5,10.0,8.33,0.74
Arabica,Guatemala,120,34.0,4080.0,Washed,7.75,7.83,7.92,10.0,8.38,0.77
Arabica,Costa Rica,50,0.453592,22.6796,Washed,8.17,8.0,7.83,10.0,8.5,0.81
Arabica,Ethiopia,250,30.0,7500.0,Washed,8.08,7.83,7.58,10.0,8.37,0.76
Arabica,Costa Rica,20,69.0,1380.0,Other,7.67,7.58,7.67,10.0,8.23,0.72
Arabica,Costa Rica,275,1.0,275.0,Washed,8.0,7.58,7.75,10.0,8.33,0.75
Arabica,Costa Rica,1,2.0,2.0,Washed,8.08,7.83,7.92,10.0,8.46,0.8
Arabica,Taiwan,10,30.0,300.0,Washed,8.0,7.92,7.75,10.0,8.42,0.78
Arabica,Colombia,250,70.0,17500.0,Washed,7.75,7.83,7.75,10.0,8.33,0.75
Arabica,Kenya,235,60.0,14100.0,Washed,7.75,7.92,7.58,10.0,8.31,0.74
Arabica,Guatemala,250,1.0,250.0,Washed,8.0,7.83,7.67,10.0,8.38,0.76
Arabica,Guatemala,125,1.0,125.0,Washed,7.67,7.83,7.67,10.0,8.29,0.74
Arabica,Mexico,80,1.0,80.0,Washed,7.83,7.58,7.92,10.0,8.33,0.76
Arabica,Uganda,320,60.0,19200.0,Washed,7.92,7.83,7.67,10.0,8.36,0.76
Arabica,Kenya,66,60.0,3960.0,Washed,7.92,7.75,7.58,10.0,8.31,0.74
Arabica,Colombia,250,70.0,17500.0,Washed,7.83,7.67,7.67,10.0,8.29,0.74
Arabica,Colombia,125,70.0,8750.0,Washed,7.92,7.83,7.83,10.0,8.39,0.78
Arabica,Kenya,100,60.0,6000.0,Washed,7.83,7.83,7.58,10.0,8.31,0.74
Arabica,Guatemala,250,69.0,17250.0,Washed,7.75,7.83,7.75,10.0,8.33,0.75
Arabica,Guatemala,250,69.0,17250.0,Washed,8.0,7.92,7.58,10.0,8.38,0.76
Arabica,Colombia,250,70.0,17500.0,Washed,7.67,7.67,7.58,10.0,8.23,0.71
Arabica,Colombia,75,70.0,5250.0,Washed,7.75,7.75,7.58,10.0,8.27,0.73
Arabica,Colombia,250,70.0,17500.0,Washed,7.67,7.83,7.58,10.0,8.27,0.73
Arabica,Costa Rica,1,1.0,1.0,Semi-Washed,7.75,7.83,7.83,10.0,8.35,0.76
Arabica,Colombia,250,70.0,17500.0,Washed,7.42,7.67,8.08,10.0,8.29,0.76
Arabica,Brazil,37,60.0,2220.0,Semi-Washed,8.0,8.0,7.58,10.0,8.39,0.77
Arabica,Brazil,35,60.0,2100.0,Semi-Washed,8.5,8.0,7.5,10.0,8.5,0.79
Arabica,China,3,60.0,180.0,Washed,7.75,7.92,7.75,10.0,8.36,0.76
Arabica,Costa Rica,250,0.453592,113.398,Washed,7.92,7.83,7.58,10.0,8.33,0.75
Arabica,Colombia,275,2.0,550.0,Washed,8.08,7.67,7.67,10.0,8.36,0.75
Arabica,China,1,2.0,2.0,Washed,7.67,8.0,7.75,10.0,8.36,0.76
Arabica,Guatemala,250,69.0,17250.0,Washed,8.17,7.83,7.67,10.0,8.42,0.77
Arabica,Kenya,235,60.0,14100.0,Washed,7.92,7.83,7.67,10.0,8.36,0.76
Arabica,Mexico,56,1.0,56.0,Washed,8.0,7.92,7.5,10.0,8.36,0.75
Arabica,Mexico,250,1.0,250.0,Washed,7.92,7.83,7.75,10.0,8.38,0.77
Arabica,Guatemala,250,69.0,17250.0,Washed,7.67,8.0,7.5,10.0,8.29,0.74
Arabica,Costa Rica,275,69.0,18975.0,Washed,7.58,7.83,7.67,10.0,8.27,0.73
Arabica,Indonesia,200,30.0,6000.0,Other,7.67,7.67,7.83,10.0,8.29,0.74
Arabica,Colombia,304,35.0,10640.0,Natural,7.92,7.83,7.92,10.0,8.42,0.79
Arabica,Colombia,275,70.0,19250.0,Washed,7.92,7.75,7.67,10.0,8.34,0.75
Arabica,Taiwan,2,2.0,4.0,Washed,7.83,7.83,7.5,10.0,8.29,0.73
Arabica,United States (Hawaii),5,45.3592,226.796,Natural,7.92,7.92,7.5,10.0,8.34,0.75
Arabica,Mexico,69,1.0,69.0,Washed,7.75,7.92,7.83,10.0,8.38,0.77
Arabica,Kenya,150,60.0,9000.0,Washed,7.33,7.58,7.75,10.0,8.16,0.7
Arabica,Colombia,275,70.0,19250.0,Washed,7.58,7.75,7.67,10.0,8.25,0.73
Arabica,Honduras,275,69.0,18975.0,Washed,7.58,7.92,7.92,10.0,8.36,0.77
Arabica,Colombia,250,70.0,17500.0,Natural,7.75,7.67,8.08,10.0,8.38,0.78
Arabica,Colombia,275,70.0,19250.0,Washed,7.75,7.58,7.58,10.0,8.23,0.71
Arabica,Mexico,100,80.0,8000.0,Washed,8.0,7.75,7.5,10.0,8.31,0.74
Arabica,Taiwan,10,5.0,50.0,Washed,7.92,7.75,7.67,10.0,8.34,0.75
Arabica,Thailand,20,25.0,500.0,Natural,7.83,7.75,7.83,10.0,8.35,0.76
Arabica,Colombia,275,70.0,19250.0,Natural,7.83,7.58,7.67,10.0,8.27,0.73
Arabica,Guatemala,230,69.0,15870.0,Washed,7.75,7.75,7.75,10.0,8.31,0.75
Arabica,Guatemala,275,69.0,18975.0,Washed,7.75,7.92,7.58,10.0,8.31,0.74
Arabica,China,3,60.0,180.0,Natural,7.83,7.83,7.75,10.0,8.35,0.76
Arabica,Colombia,275,70.0,19250.0,Washed,7.67,7.67,7.67,10.0,8.25,0.73
Arabica,Colombia,248,70.0,17360.0,Washed,7.83,7.67,7.92,10.0,8.36,0.77
Arabica,Colombia,275,2.0,550.0,Washed,7.83,7.75,7.67,10.0,8.31,0.74
Arabica,Colombia,250,70.0,17500.0,Natural,7.42,7.67,7.92,10.0,8.25,0.74
Arabica,"Tanzania, United Republic Of",10,60.0,600.0,Washed,7.83,7.67,7.67,10.0,8.29,0.74
Arabica,"Tanzania, United Republic Of",65,60.0,3900.0,Washed,7.83,7.75,7.67,10.0,8.31,0.74
Arabica,Guatemala,250,69.0,17250.0,Other,7.83,7.83,7.58,10.0,8.31,0.74
Arabica,Colombia,250,70.0,17500.0,Washed,7.58,7.5,7.92,10.0,8.25,0.73
Arabica,United States (Hawaii),7,45.3592,317.5144,Natural,7.33,7.92,7.92,10.0,8.29,0.75
Arabica,Mexico,10,1.0,10.0,Semi-Washed,7.83,7.92,7.5,10.0,8.31,0.74
Arabica,Mexico,20,1.0,20.0,Washed,7.83,7.83,7.83,10.0,8.37,0.77
Arabica,Mexico,250,1.0,250.0,Washed,7.83,7.92,7.5,10.0,8.31,0.74
Arabica,Uganda,1,60.0,60.0,Natural,8.17,7.75,7.83,10.0,8.44,0.79
Arabica,Guatemala,50,69.0,3450.0,Washed,7.75,7.83,7.67,10.0,8.31,0.75
Arabica,Colombia,250,70.0,17500.0,Washed,7.83,7.75,7.75,10.0,8.33,0.75
Arabica,Costa Rica,150,69.0,10350.0,Washed,7.92,7.75,7.5,10.0,8.29,0.73
Arabica,Guatemala,275,69.0,18975.0,Washed,7.75,7.75,7.67,10.0,8.29,0.74
Arabica,Guatemala,377,69.0,26013.0,Washed,7.75,7.92,7.67,10.0,8.34,0.75
Arabica,Guatemala,130,69.0,8970.0,Washed,7.58,7.83,7.83,10.0,8.31,0.75
Arabica,Colombia,275,70.0,19250.0,Washed,8.0,7.5,8.0,10.0,8.38,0.77
Arabica,Nicaragua,275,2.0,550.0,Natural,7.67,7.83,7.67,10.0,8.29,0.74
Arabica,Brazil,305,59.0,17995.0,Natural,7.67,7.75,7.83,10.0,8.31,0.75
Arabica,Costa Rica,320,69.0,22080.0,Washed,7.67,7.75,7.5,10.0,8.23,0.71
Arabica,Ethiopia,320,60.0,19200.0,Natural,7.5,7.92,7.75,10.0,8.29,0.75
Arabica,"Tanzania, United Republic Of",10,60.0,600.0,Washed,7.92,7.75,7.75,10.0,8.36,0.76
Arabica,Colombia,250,1.0,250.0,Washed,7.67,7.5,7.83,10.0,8.25,0.73
Arabica,Guatemala,275,2.26796,623.689,Washed,7.67,7.75,7.75,10.0,8.29,0.74
Arabica,Brazil,1,2.0,2.0,Natural,7.58,7.83,7.67,10.0,8.27,0.73
Arabica,Guatemala,250,69.0,17250.0,Washed,7.92,7.75,7.83,10.0,8.38,0.77
Arabica,El Salvador,275,2.0,550.0,Natural,8.42,8.08,7.58,9.33,8.35,0.76
Arabica,Colombia,250,70.0,17500.0,Washed,7.75,7.75,7.83,10.0,8.33,0.76
Arabica,Guatemala,275,1.0,275.0,Natural,7.83,7.5,7.83,10.0,8.29,0.74
Arabica,Uganda,320,60.0,19200.0,Washed,7.83,7.75,7.83,10.0,8.35,0.76
Arabica,Indonesia,2,2.0,4.0,Natural,7.81,7.88,7.63,10.0,8.33,0.75
Arabica,Colombia,275,70.0,19250.0,Washed,7.83,7.5,7.83,10.0,8.29,0.74
Arabica,Taiwan,10,20.0,200.0,Washed,7.58,7.67,7.75,10.0,8.25,0.73
Arabica,Guatemala,50,69.0,3450.0,Washed,8.0,7.75,7.92,10.0,8.42,0.78
Arabica,Colombia,200,70.0,14000.0,Washed,7.92,7.75,7.67,10.0,8.34,0.75
Arabica,Guatemala,1,2.0,2.0,Washed,7.58,7.75,7.75,10.0,8.27,0.74
Arabica,United States (Hawaii),14,45.3592,635.0288,Natural,7.83,7.75,7.42,9.33,8.08,0.67
Arabica,Mexico,300,1.0,300.0,Washed,7.67,7.75,7.67,10.0,8.27,0.73
Arabica,Ethiopia,100,60.0,6000.0,Natural,7.92,7.92,7.92,10.0,8.44,0.79
Arabica,Costa Rica,275,68.0388,18710.67,Washed,7.58,7.75,7.83,10.0,8.29,0.74
Arabica,Ethiopia,320,60.0,19200.0,Natural,7.83,7.75,7.33,10.0,8.23,0.7
Arabica,Honduras,275,66.0,18150.0,Washed,7.42,7.83,7.75,10.0,8.25,0.73
Arabica,Guatemala,275,69.0,18975.0,Washed,7.67,7.83,7.75,10.0,8.31,0.75
Arabica,Colombia,250,1.0,250.0,Washed,7.67,7.67,7.58,10.0,8.23,0.71
Arabica,Guatemala,250,69.0,17250.0,Natural,7.92,7.67,7.75,10.0,8.34,0.75
Arabica,Guatemala,250,69.0,17250.0,Other,7.75,7.83,7.58,10.0,8.29,0.73
Arabica,Colombia,250,1.0,250.0,Washed,7.67,7.75,7.67,10.0,8.27,0.73
Arabica,Colombia,250,70.0,17500.0,Natural,7.58,7.42,7.75,10.0,8.19,0.71
Arabica,Colombia,138,70.0,9660.0,Washed,7.67,7.67,7.67,10.0,8.25,0.73
Arabica,Ethiopia,50,60.0,3000.0,Natural,7.75,7.75,7.67,10.0,8.29,0.74
Arabica,Brazil,320,60.0,19200.0,Natural,7.58,7.83,8.0,10.0,8.35,0.77
Arabica,Colombia,270,70.0,18900.0,Washed,7.67,7.83,7.67,10.0,8.29,0.74
Arabica,Kenya,300,60.0,18000.0,Washed,7.67,7.83,7.92,10.0,8.36,0.77
Arabica,Thailand,2,1.0,2.0,Washed,7.92,8.17,8.08,8.67,8.21,0.75
Arabica,Uganda,320,60.0,19200.0,Washed,7.92,7.75,7.67,10.0,8.34,0.75
Arabica,Brazil,320,60.0,19200.0,Natural,7.5,7.75,7.58,10.0,8.21,0.71
Arabica,Mexico,200,69.0,13800.0,Washed,7.83,7.83,7.42,10.0,8.27,0.72
Arabica,Thailand,45,40.0,1800.0,Natural,7.67,7.75,7.67,10.0,8.27,0.73
Arabica,Brazil,320,60.0,19200.0,Natural,7.58,7.67,7.58,10.0,8.21,0.71
Arabica,Taiwan,20,50.0,1000.0,Washed,7.83,7.75,7.83,9.33,8.19,0.72
Arabica,Taiwan,1,2.0,2.0,Natural,7.75,7.75,7.75,10.0,8.31,0.75
Arabica,Colombia,275,2.0,550.0,Washed,7.92,7.67,7.58,10.0,8.29,0.73
Arabica,Colombia,275,2.0,550.0,Washed,7.83,7.75,7.75,10.0,8.33,0.75
Arabica,Colombia,275,70.0,19250.0,Washed,7.75,7.58,7.83,10.0,8.29,0.74
Arabica,Taiwan,10,60.0,600.0,Washed,8.0,7.92,7.67,10.0,8.4,0.77
Arabica,Colombia,250,70.0,17500.0,Natural,7.67,7.83,7.67,10.0,8.29,0.74
Arabica,Mexico,48,1.0,48.0,Washed,7.67,7.75,7.75,10.0,8.29,0.74
Arabica,Mexico,250,1.0,250.0,Washed,7.5,7.67,7.75,10.0,8.23,0.72
Arabica,Mexico,20,1.0,20.0,Washed,7.75,7.92,7.75,9.33,8.19,0.72
Arabica,Colombia,275,70.0,19250.0,Washed,7.92,7.58,7.58,10.0,8.27,0.72
Arabica,Costa Rica,275,69.0,18975.0,Washed,7.67,7.67,7.5,10.0,8.21,0.71
Arabica,Guatemala,100,69.0,6900.0,Washed,7.75,7.75,7.83,10.0,8.33,0.76
Arabica,Brazil,320,2.0,640.0,Natural,7.25,7.58,7.75,10.0,8.14,0.7
Arabica,Taiwan,8,18.0,144.0,Washed,7.67,7.75,7.42,10.0,8.21,0.7
Arabica,Ethiopia,320,60.0,19200.0,Natural,7.75,7.75,7.58,10.0,8.27,0.73
Arabica,Brazil,300,2.0,600.0,Semi-Washed,7.67,7.67,7.83,10.0,8.29,0.74
Arabica,Costa Rica,250,1.0,250.0,Washed,7.83,7.42,7.75,10.0,8.25,0.72
Arabica,Guatemala,250,69.0,17250.0,Washed,7.58,7.83,7.58,10.0,8.25,0.72
Arabica,Brazil,320,60.0,19200.0,Natural,7.92,7.5,8.17,10.0,8.4,0.78
Arabica,Ecuador,1,2.26796,2.26796,Natural,7.5,7.67,7.83,10.0,8.25,0.73
Arabica,Colombia,250,70.0,17500.0,Washed,7.67,7.58,7.58,10.0,8.21,0.71
Arabica,Guatemala,250,69.0,17250.0,Washed,7.5,7.83,7.83,10.0,8.29,0.75
Arabica,Mexico,20,1.0,20.0,Natural,7.67,8.0,7.67,10.0,8.34,0.76
Arabica,Mexico,250,1.0,250.0,Natural,7.67,7.58,7.75,10.0,8.25,0.73
Arabica,Brazil,300,1.0,300.0,Semi-Washed,7.83,7.83,7.5,10.0,8.29,0.73
Arabica,Kenya,200,60.0,12000.0,Washed,7.75,7.58,7.75,10.0,8.27,0.73
Arabica,Brazil,320,60.0,19200.0,Natural,7.67,7.67,7.67,10.0,8.25,0.73
Arabica,Colombia,275,70.0,19250.0,Washed,7.83,7.83,7.58,10.0,8.31,0.74
Arabica,Taiwan,10,10.0,100.0,Natural,7.67,7.67,7.67,10.0,8.25,0.73
Arabica,Colombia,275,70.0,19250.0,Washed,7.92,7.75,7.75,10.0,8.36,0.76
Arabica,China,3,60.0,180.0,Washed,7.83,7.75,7.58,10.0,8.29,0.73
Arabica,Colombia,250,70.0,17500.0,Natural,7.75,7.67,7.58,10.0,8.25,0.72
Arabica,Uganda,320,60.0,19200.0,Natural,8.0,7.92,7.33,10.0,8.31,0.73
Arabica,United States (Puerto Rico),18,2.26796,40.82328,Washed,7.83,7.83,8.0,9.33,8.25,0.75
Arabica,Colombia,100,70.0,7000.0,Washed,7.67,7.67,7.5,10.0,8.21,0.71
Arabica,Colombia,250,70.0,17500.0,Washed,7.67,7.42,8.0,10.0,8.27,0.74
Arabica,Colombia,250,70.0,17500.0,Washed,7.58,7.67,7.67,10.0,8.23,0.72
Arabica,Colombia,275,70.0,19250.0,Washed,7.75,7.67,7.42,10.0,8.21,0.7
Arabica,United States (Hawaii),12,45.3592,544.3104000000001,Natural,7.25,7.42,7.83,10.0,8.12,0.69
Arabica,Mexico,10,1.0,10.0,Natural,7.83,7.58,7.75,10.0,8.29,0.74
Arabica,Guatemala,250,1.360776,340.194,Washed,7.67,7.58,7.75,10.0,8.25,0.73
Arabica,Brazil,320,60.0,19200.0,Natural,7.67,7.83,7.67,10.0,8.29,0.74
Arabica,Kenya,200,60.0,12000.0,Washed,8.08,7.67,7.25,10.0,8.25,0.7
Arabica,Honduras,285,69.0,19665.0,Washed,7.5,7.5,8.0,10.0,8.25,0.74
Arabica,Nicaragua,275,69.0,18975.0,Washed,7.67,7.75,7.83,10.0,8.31,0.75
Arabica,Brazil,320,60.0,19200.0,Natural,7.58,7.75,7.58,10.0,8.23,0.72
Arabica,Taiwan,20,50.0,1000.0,Natural,7.5,7.67,7.83,10.0,8.25,0.73
Arabica,Thailand,1,1.0,1.0,Washed,7.5,7.75,7.67,10.0,8.23,0.72
Arabica,Colombia,100,0.907184,90.7184,Washed,7.5,7.75,7.67,10.0,8.23,0.72
Arabica,Guatemala,275,69.0,18975.0,Washed,8.0,7.5,8.0,9.33,8.21,0.73
Arabica,Colombia,250,70.0,17500.0,Washed,7.83,7.75,7.58,10.0,8.29,0.73
Arabica,Colombia,250,70.0,17500.0,Washed,7.67,7.67,7.33,10.0,8.17,0.69
Arabica,Guatemala,250,69.0,17250.0,Washed,7.67,7.67,8.0,10.0,8.34,0.76
Arabica,Guatemala,250,69.0,17250.0,Washed,7.83,7.67,7.67,10.0,8.29,0.74
Arabica,Colombia,250,70.0,17500.0,Washed,7.75,7.75,7.17,10.0,8.17,0.68
Arabica,Guatemala,250,1.0,250.0,Natural,8.17,8.17,8.08,9.33,8.44,0.81
Arabica,Guatemala,250,1.0,250.0,Washed,7.67,8.17,7.58,10.0,8.36,0.76
Arabica,Mexico,48,1.0,48.0,Washed,7.67,7.5,7.83,10.0,8.25,0.73
Arabica,Indonesia,10,60.0,600.0,Washed,8.17,7.67,7.42,10.0,8.31,0.73
Arabica,Guatemala,250,69.0,17250.0,Washed,7.67,7.5,7.67,10.0,8.21,0.71
Arabica,Brazil,320,60.0,19200.0,Natural,7.58,7.67,7.67,10.0,8.23,0.72
Arabica,Guatemala,275,69.0,18975.0,Washed,7.75,7.75,7.58,10.0,8.27,0.73
Arabica,Colombia,275,70.0,19250.0,Washed,7.75,7.75,7.67,10.0,8.29,0.74
Arabica,China,3,60.0,180.0,Washed,7.67,7.58,7.67,10.0,8.23,0.72
Arabica,Colombia,275,70.0,19250.0,Washed,7.67,7.75,7.75,10.0,8.29,0.74
Arabica,Mexico,275,2.0,550.0,Washed,7.75,7.75,7.5,10.0,8.25,0.72
