species,owner,country_of_origin,farm_name,lot_number,mill,company,altitude,region,producer,number_of_bags,bag_weight,in_country_partner,harvest_year,grading_date,owner_1,variety,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,cupper_points,moisture
Arabica,bismarck castro,Honduras,los hicaques,102,cigrah s.a de c.v.,cigrah s.a de c.v,1400,comayagua,Reinerio Zepeda,275,69 kg,Instituto Hondureño del Café,2016,"May 18th, 2017",Bismarck Castro,Caturra,NA,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,0.1
Arabica,"lin, che-hao krude 林哲豪",Taiwan,tsoustructive garden 鄒築園,Tsoustructive 2015 Sumatra Typica,tsoustructive garden 鄒築園,taiwan coffee laboratory,1200,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",20,50 kg,Specialty Coffee Association,2015,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Sumatra,Pulped natural / honey,8,8,8,8.25,8,8.17,10,10,10,8.17,0
Arabica,nora zeas,Nicaragua,NA,NA,beneficio atlantic condega,NA,NA,NA,NA,275,6,Specialty Coffee Association,NA,"May 18th, 2010",Nora Zeas,NA,NA,7.92,8.25,8,8.33,8,8.08,10,10,10,8,0.08
Arabica,specialty coffee-korea,"Tanzania, United Republic Of",NA,NA,NA,NA,NA,NA,NA,100,60 kg,Specialty Coffee Institute of Asia,2012,"September 3rd, 2013",Specialty Coffee-Korea,NA,Natural / Dry,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,0.11
Arabica,nucoffee,Brazil,fazenda recreio,NA,NA,nucoffee,1300,vale da grama,Homero Texeira de Macedo Junior,29,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Natural / Dry,8.5,8.17,8,7.75,8,8,10,10,10,8,0.12
Arabica,francisco a mena,Costa Rica,exclusive coffees s.a.,NA,"exclusive coffees s.a,",exclusive coffees s.a.,1300,west and central valley,Exclusive Coffees S.A.,250,2 lbs,Specialty Coffee Association of Costa Rica,2015/2016,"December 3rd, 2015",Francisco A Mena,Caturra,Washed / Wet,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,0
Arabica,hider abamecha,Ethiopia,haider abamecha coffee plantation,NA,faysal abamecha processing plant at yebu town,haider abamecha coffee export,1750-1800,oromia,Haider Abamecha Abadiko,320,60 kg,METAD Agricultural Development plc,2014,"March 27th, 2015",Hider Abamecha,NA,Natural / Dry,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,0.1
Arabica,daniel magu,Kenya,kangunu,NA,central kenya coffee mills,c dorman ltd,1800,muranga,Kangunu,320,1 kg,Kenya Coffee Traders Association,2013,"May 30th, 2014",Daniel Magu,SL34,Washed / Wet,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,0.12
Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,kona pacific farmers cooperative,NA,kona,NA,10,100 lbs,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,0
Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,NA,NA,NA,NA,kona,Kona Pacific Farmers Co-Op,25,100 lbs,Specialty Coffee Association,2010,"January 28th, 2011",Kona Pacific Farmers Cooperative,NA,NA,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,0
Arabica,ethiopia commodity exchange,Ethiopia,"phone number | 0911-51-08-01, email | at",NA,NA,NA,NA,yirgacheffe,Contact name | ATO Teshome Belamo,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,NA,NA,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,0.1
Arabica,cqi q coffee sample representative,United States,la primavera,NA,NA,coffee quality institute,meters above sea level: 1.941,antioquia,Hugo Sepúlveda Montoya,10,1 kg,Almacafé,2014,"March 13th, 2015",CQI Q Coffee Sample Representative,Other,Washed / Wet,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,0
Arabica,itdp international,Thailand,co-op #12,NA,NA,lanna cafe,1300,chiang rai,ITDP,53,1 kg,Specialty Coffee Association,2012,"April 12th, 2012",ITDP International,Caturra,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,0.1
Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,NA,cocarive,NA,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,NA,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,0.08
Arabica,jacques pereira carneiro,Brazil,pereira estate coffee,NA,cocarive,NA,1.2,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,300,60 kg,Specialty Coffee Association,2010,"January 4th, 2011",Jacques Pereira Carneiro,Yellow Bourbon,NA,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,0.01
Arabica,"lin, che-hao krude 林哲豪",Taiwan,sunshine valley estate 向陽高山咖啡,NA,sunshine valley estate 向陽高山咖啡,taiwan coffee laboratory,1000 m,natou county,LIN YEN CHIEN 林言謙,10,15 kg,Specialty Coffee Association,2015,"June 10th, 2015","Lin, Che-Hao Krude 林哲豪",Bourbon,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,0.12
Arabica,jungle estate,Kenya,jungle estate,NA,nkg coffee mills,keremara limited,1754,nyeri,JUNGLE ESTATE,12,60 kg,Kenya Coffee Traders Association,2014,"January 29th, 2015",Jungle Estate,SL28,Natural / Dry,8.08,8.08,8,8,7.83,8.08,10,10,10,8,0.11
Arabica,nucoffee,Brazil,fazenda kaquend,NA,NA,nucoffee,1250m,south of minas,Ralph Junqueira,7,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8.33,8,8,8,7.75,8,10,10,10,8,0.11
Arabica,great lakes coffee uganda,Uganda,kaasayi,NA,great lakes coffee,ucda,NA,eastern uganda,Kaasay Farmer Group,1,60 kg,Uganda Coffee Development Authority,2014,"October 1st, 2014",Great Lakes Coffee Uganda,NA,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,0
Arabica,lusso lab,Colombia,ecobio colombia,NA,NA,lusso coffee lab,900-1500m,tolima,NA,1,2 kg,Specialty Coffee Association,2013,"March 20th, 2014",LUSSO LAB,Caturra,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,0.12
Arabica,lusso lab,Kenya,kianjavi,NA,NA,lusso coffee lab,1520m-2200m,kiambu,NA,1,1 kg,Specialty Coffee Association,2013,"February 6th, 2014",LUSSO LAB,SL28,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,0.11
Arabica,afca,Uganda,NA,NA,NA,kawacom uganda ltd,1400-1900m,"sipi, mt elgon",Kawacom,1,60 kg,Africa Fine Coffee Association,2012,"February 13th, 2012",AFCA,Other,Washed / Wet,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,0.1
Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,NA,coffee processing and warehouse enterpri,NA,1500-2000 m,sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,NA,NA,7.75,8.08,8,8.25,8,8,10,10,10,7.92,0.01
Arabica,grounds for health admin,United States (Hawaii),hula daddy kona coffee,NA,NA,NA,1400ft,kona,Hula Daddy Kona Coffee,1,2,Specialty Coffee Association,Fall 2009,"May 31st, 2010",Grounds for Health Admin,NA,NA,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,0
Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0252,beneficio ixchel,"unex guatemala, s.a.",NA,nuevo oriente,MARGARITA AVILA DE NUYENS,80,69 kg,Asociacion Nacional Del Café,2016,"May 16th, 2016",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,0.1
Arabica,kawacom uganda ltd,Uganda,sipi organic coffee project,NA,kawacom,kawacom uganda ltd,1400-1900,eastern,Kawacom (U)Ltd,1,60 kg,Uganda Coffee Development Authority,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,0.12
Arabica,exportadora de cafe condor s.a,Colombia,NA,NA,trilladora boananza,exportadora de cafe condor s.a,1800 msnm,huila,NA,275,70 kg,Almacafé,2013,"July 26th, 2013",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8,8,8,8.17,7.83,8,10,10,10,7.92,0
Arabica,gonzalo hernandez,Panama,la berlina estate,Baby Geisha Washed,beneficio casa ruiz s.a.,ce specialty s.a.,1600,boquete,Plinio Ruiz,37,60 kg,Specialty Coffee Association of Costa Rica,2017,"October 9th, 2017",Gonzalo Hernandez,Gesha,Washed / Wet,8,8,7.92,8.08,7.83,8,10,10,10,8,0.08
Arabica,ibrahim hussien speciality coffee producer &export,Ethiopia,NA,NA,burka gudina,ibrahim hussien specality coffee product & exporter,1800-2000,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,320,60 kg,METAD Agricultural Development plc,2014,"April 4th, 2015",Ibrahim Hussien Speciality Coffee Producer &Export,NA,Washed / Wet,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,0.1
Arabica,juan luis alvarado romero,Guatemala,valparaiso,NA,beneficio valparaiso,sertrasa,5000,acatenango,SERTRASA,150,1 kg,Asociacion Nacional Del Café,2012,"July 3rd, 2012",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,7.83,8,8,8.17,7.83,8,10,10,10,8,0.12
Arabica,juan luis alvarado romero,Guatemala,finca el limon,NA,beneficio serben,unicafe,4650,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,275,1 kg,Asociacion Nacional Del Café,2012,"June 5th, 2012",Juan Luis Alvarado Romero,Catuai,Washed / Wet,8,8,7.83,8.33,7.83,7.83,10,10,10,8,0.1
Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,320,seid damtew coffee export and plantation,seid damtew coffee planation,NA,addis ababa,seid damtew coffee export and plantation,320,19200 kg,METAD Agricultural Development plc,2017,"June 23rd, 2017",SEID DAMTEW COFFEE PLANATAION,Caturra,Natural / Dry,7.83,8,7.83,8.17,7.92,8,10,10,10,8,0.09
Arabica,dane loraas,Peru,NA,NA,NA,sustainable harvest,NA,cajamarca,NA,280,5 lbs,Specialty Coffee Association,2013,"January 22nd, 2014",Dane Loraas,NA,Washed / Wet,8,8,8,8.08,7.92,7.75,10,10,10,8,0.1
Arabica,"colbran coffeelands, ltd.",Papua New Guinea,tairora cherry – bonta,NA,baroida,cqi,1700 mts,eastern highlands province,"Colbran CoffeeLands, Ltd.",7,60 kg,Specialty Coffee Association,2012,"October 25th, 2012","Colbran Coffeelands, Ltd.",NA,Washed / Wet,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,0.12
Arabica,atlantic specialty coffee,El Salvador,el majahual,NA,j. hill y cia,atlantic specialty coffee,1500 meters,apaneca,Aida Batlle,275,2 kg,Specialty Coffee Association,2013,"March 18th, 2013",Atlantic Specialty Coffee,Bourbon,Washed / Wet,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,0.1
Arabica,lusso lab,El Salvador,finca la esmeralda,NA,"aqua caliente, j.j. borja nathan. s.a",lusso coffee lab,1300~1400 m.s.l,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,19,1 kg,Specialty Coffee Association,2012,"January 12th, 2013",LUSSO LAB,Bourbon,Semi-washed / Semi-pulped,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,0.11
Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,kona pacific farmers cooperative,NA,kona,NA,8,100 lbs,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.83,8,7.92,7.75,8.08,8,10,10,10,8,0
Arabica,essencecoffee,Panama,elida estate,NA,elida estate,essence coffee,1680,boquete,Lamastus,100,60 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Caturra,Natural / Dry,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,0.09
Arabica,essencecoffee,Kenya,inoi,NA,inoi,essence coffee,1900m,kirinyaga,NA,16,60 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,0.1
Arabica,assefa belay coffee producer,Ethiopia,NA,NA,NA,assefa belay coffee producer,1800-2000,oromia,Assefa Belay Coffee Producer,320,60 kg,METAD Agricultural Development plc,2015,"March 31st, 2015",Assefa Belay Coffee Producer,Other,Natural / Dry,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,0.12
Arabica,kyagalanyi ltd,Uganda,buginyanya,NA,kyagalanyi coffee ltd,kyagalanyi coffee ltd,1600,bulambuli eastern region,Kyagalanyi coffee Ltd,320,60 kg,Uganda Coffee Development Authority,2013,"June 26th, 2014",Kyagalanyi Ltd,SL14,Washed / Wet,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,0.12
Arabica,juan luis alvarado romero,Guatemala,asoperc,NA,beneficio exportacafe agua santa,exportcafe,5600-5760 metros,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),250,69 kg,Asociacion Nacional Del Café,2013,"February 26th, 2013",Juan Luis Alvarado Romero,Bourbon,Washed / Wet,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,0.11
Arabica,assefa belay coffee producer,Ethiopia,NA,NA,NA,assefa belay coffee producer,1800-2000,oromia,Assefa Belay Coffee Producer,320,60 kg,METAD Agricultural Development plc,2015,"March 31st, 2015",Assefa Belay Coffee Producer,NA,Washed / Wet,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,0.1
Arabica,great lakes coffee uganda,Uganda,chesiyo farmer group,NA,great lakes coffee,great lakes coffee,1950,kapchorwa,Chesiyo Farmer group,150,60 kg,Uganda Coffee Development Authority,2013,"June 26th, 2014",Great Lakes Coffee Uganda,SL14,Washed / Wet,8.08,8,7.83,7.67,8,7.83,10,10,10,8,0.12
Arabica,kona pacific farmers cooperative,United States (Hawaii),NA,NA,NA,kona pacific farmers cooperative,NA,kona,NA,8,100 lbs,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,0
Arabica,nucoffee,Brazil,fazenda serra de três barras,NA,NA,nucoffee,1250m,south of minas,José Vagner Ribeiro Junqueira,5,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,10,8,0.11
Arabica,grounds for health admin,El Salvador,sierra nevada,NA,beneficio las tres puertas,NA,1400 m,apaneca,J. Hill y Cia SA de CV,2,"1 kg,lbs",Specialty Coffee Association,2009 / 2010,"May 31st, 2010",Grounds for Health Admin,NA,NA,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,0.01
Arabica,yunnan coffee exchange,China,pu'er city longke coffee co.ltd,YNC-16115,pu'er city longke coffee co.ltd,yunnan coffee exchange,1700,yunnan,Pu'er City Longke Coffee Co.Ltd,3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,7.92,0.1
Arabica,essencecoffee,Guatemala,el injerto s.a.,NA,el injerto s.a.,essence coffee,1770,huehuetenango,Arturo Aguirre,36,30 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,0.11
Arabica,the coffee source inc.,Costa Rica,several,NA,cafe altura de san ramon,the coffee source inc.,1300,west valley,Cafe Altura de San Ramon,250,3 lbs,Specialty Coffee Association,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,0
Arabica,the coffee source inc.,Costa Rica,several,NA,cafe altura de san ramon,the coffee source inc.,1300 msnm,san ramon,SEVERAL,250,3 lbs,Specialty Coffee Association,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,0.1
Arabica,rashid moledina & co. (msa) ltd.,Kenya,NA,NA,NA,rashid moledina & co. (msa) ltd,above 1600 m,central kenya,Kianjogu - Rutuma F.C.S. Ltd.,20,60 kg,Kenya Coffee Traders Association,2012,"April 19th, 2013",RASHID MOLEDINA & CO. (MSA) LTD.,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,0
Arabica,ibero kenya limited,Kenya,NA,NA,nkg/ck/hc/ss/kccm,ibero kenya limited,above 1200 m,central kenya,Blend from various Producers,300,60 kg,Kenya Coffee Traders Association,2012,"March 12th, 2013",Ibero Kenya Limited,SL34,Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,0
Arabica,ethiopia commodity exchange,Ethiopia,phone number | 0911-513824 email: gmt.ft,NA,NA,NA,NA,yirgacheffe,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",360,6 kg,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,NA,NA,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,0.05
Arabica,ethiopia commodity exchange,Ethiopia,NA,NA,NA,NA,NA,yirgacheffe,Contact name | Hailu Gebre Hiwot,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,Typica,NA,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,0.1
Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0177,beneficio ixchel,"unex guatemala, s.a.",NA,oriente,MARGARITA AVILA DE NUYENS,250,69 kg,Asociacion Nacional Del Café,2016,"April 27th, 2016",Juan Luis Alvarado Romero,Bourbon,NA,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,0.1
